mix: 3647072 rows = 14.94B tokens scheduled
params 206.1M | tokens 521010 | seqs 521010 | device cuda:0 | world 7 | fa True | fp8 True
cfg batch 16 accum 2 seq 4096 grad_ckpt False doc_mask True attn_res True/0 softcap 15.0 warmup 300 epochs 1 lr_scale 1.0 mix data/mix_15b_stage1.json fone False seed 42 sample_seed 42 (follows seed) warmdown 0.0 anneal_frac 0.0 val_every 500 attn_every 4
step 520/16281 3% [main] | loss 2.166 | lr 1.00e-02 | gnorm 0.45 | 0.48B tok | 77K tok/s/gpu | MFU 32% | ETA 7.5h
step 530/16281 3% [main] | loss 2.115 | lr 1.00e-02 | gnorm 0.70 | 0.49B tok | 77K tok/s/gpu | MFU 32% | ETA 7.5h
step 540/16281 3% [main] | loss 2.244 | lr 1.00e-02 | gnorm 0.36 | 0.50B tok | 77K tok/s/gpu | MFU 32% | ETA 7.5h
step 550/16281 3% [main] | loss 3.021 | lr 1.00e-02 | gnorm 0.61 | 0.50B tok | 77K tok/s/gpu | MFU 32% | ETA 7.5h
step 560/16281 3% [main] | loss 2.376 | lr 1.00e-02 | gnorm 0.77 | 0.51B tok | 77K tok/s/gpu | MFU 32% | ETA 7.5h
step 570/16281 4% [main] | loss 2.689 | lr 1.00e-02 | gnorm 1.09 | 0.52B tok | 77K tok/s/gpu | MFU 32% | ETA 7.5h
step 580/16281 4% [main] | loss 1.862 | lr 1.00e-02 | gnorm 0.37 | 0.53B tok | 77K tok/s/gpu | MFU 32% | ETA 7.4h
step 590/16281 4% [main] | loss 2.529 | lr 1.00e-02 | gnorm 0.51 | 0.54B tok | 77K tok/s/gpu | MFU 32% | ETA 7.4h
step 600/16281 4% [main] | loss 2.233 | lr 1.00e-02 | gnorm 0.36 | 0.55B tok | 75K tok/s/gpu | MFU 31% | ETA 7.6h
step 610/16281 4% [main] | loss 1.978 | lr 1.00e-02 | gnorm 0.37 | 0.56B tok | 77K tok/s/gpu | MFU 32% | ETA 7.4h
step 620/16281 4% [main] | loss 2.315 | lr 1.00e-02 | gnorm 0.39 | 0.57B tok | 77K tok/s/gpu | MFU 32% | ETA 7.4h
step 630/16281 4% [main] | loss 2.408 | lr 1.00e-02 | gnorm 0.86 | 0.58B tok | 77K tok/s/gpu | MFU 32% | ETA 7.4h
step 640/16281 4% [main] | loss 2.639 | lr 1.00e-02 | gnorm 0.79 | 0.59B tok | 77K tok/s/gpu | MFU 32% | ETA 7.4h
step 650/16281 4% [main] | loss 2.328 | lr 1.00e-02 | gnorm 0.33 | 0.60B tok | 77K tok/s/gpu | MFU 32% | ETA 7.4h
step 660/16281 4% [main] | loss 2.327 | lr 1.00e-02 | gnorm 0.88 | 0.61B tok | 77K tok/s/gpu | MFU 32% | ETA 7.4h
step 670/16281 4% [main] | loss 2.342 | lr 1.00e-02 | gnorm 0.31 | 0.61B tok | 77K tok/s/gpu | MFU 32% | ETA 7.4h
# END OF SNAPSHOT -- committed excerpt, 8,048B of the pod's 3,819,506B. NOT the whole log.
# the run reached step 16281; this copy stops at 670, so its last line is NOT where the run ended.
# Cited by eff.ab_throughput_statistic. Live/full copy: ~/bin/pod "cd /work/aupai && tail -40 runs/ab_base_a_first.log".
