params 206.1M | tokens 350545 | seqs 350545 | device cuda:0 | world 8 | fa True | fp8 True
cfg batch 24 accum 1 seq 4096 grad_ckpt False doc_mask True attn_res True/4 softcap 15.0 warmup 150 epochs 1 lr_scale 0.5 mix data/mix.json
step 1750/14606 loss 3.306 | 81K tok/s/gpu | MFU 34%
step 1760/14606 loss 3.095 | 81K tok/s/gpu | MFU 34%
step 1770/14606 loss 3.182 | 81K tok/s/gpu | MFU 34%
step 1780/14606 loss 3.190 | 81K tok/s/gpu | MFU 34%
step 1790/14606 loss 3.149 | 81K tok/s/gpu | MFU 34%
step 1800/14606 loss 3.262 | 78K tok/s/gpu | MFU 33%
step 1810/14606 loss 3.302 | 81K tok/s/gpu | MFU 34%
step 1820/14606 loss 3.423 | 81K tok/s/gpu | MFU 34%
step 1830/14606 loss 3.048 | 81K tok/s/gpu | MFU 34%
step 1840/14606 loss 3.358 | 81K tok/s/gpu | MFU 34%
step 1850/14606 loss 3.223 | 81K tok/s/gpu | MFU 34%
step 1860/14606 loss 3.378 | 81K tok/s/gpu | MFU 34%
step 1870/14606 loss 3.243 | 81K tok/s/gpu | MFU 34%
step 1880/14606 loss 2.977 | 81K tok/s/gpu | MFU 34%
step 1890/14606 loss 3.241 | 81K tok/s/gpu | MFU 34%
step 1900/14606 loss 3.087 | 80K tok/s/gpu | MFU 34%
step 1910/14606 loss 3.242 | 81K tok/s/gpu | MFU 34%
step 1920/14606 loss 3.393 | 81K tok/s/gpu | MFU 34%
step 1930/14606 loss 3.296 | 81K tok/s/gpu | MFU 34%
step 1940/14606 loss 3.140 | 81K tok/s/gpu | MFU 34%
step 1950/14606 loss 3.218 | 81K tok/s/gpu | MFU 34%
step 1960/14606 loss 3.107 | 81K tok/s/gpu | MFU 34%
step 1970/14606 loss 3.420 | 81K tok/s/gpu | MFU 34%
step 1980/14606 loss 3.011 | 81K tok/s/gpu | MFU 34%
step 1990/14606 loss 3.138 | 81K tok/s/gpu | MFU 34%
step 2000/14606 val 2.571
step 2000/14606 loss 3.184 | 49K tok/s/gpu | MFU 21%
step 2010/14606 loss 3.203 | 82K tok/s/gpu | MFU 34%
step 2020/14606 loss 3.142 | 81K tok/s/gpu | MFU 34%
step 2030/14606 loss 3.176 | 81K tok/s/gpu | MFU 34%
step 2040/14606 loss 3.253 | 81K tok/s/gpu | MFU 34%
step 2050/14606 loss 3.192 | 81K tok/s/gpu | MFU 34%
step 2060/14606 loss 3.103 | 81K tok/s/gpu | MFU 34%
step 2070/14606 loss 3.233 | 81K tok/s/gpu | MFU 34%
step 2080/14606 loss 3.040 | 81K tok/s/gpu | MFU 34%
step 2090/14606 loss 3.392 | 81K tok/s/gpu | MFU 34%
step 2100/14606 loss 3.136 | 81K tok/s/gpu | MFU 34%
step 2110/14606 loss 2.973 | 81K tok/s/gpu | MFU 34%
step 2120/14606 loss 3.122 | 81K tok/s/gpu | MFU 34%
step 2130/14606 loss 2.718 | 81K tok/s/gpu | MFU 34%
step 2140/14606 loss 3.025 | 81K tok/s/gpu | MFU 34%
step 2150/14606 loss 3.044 | 81K tok/s/gpu | MFU 34%
step 2160/14606 loss 3.081 | 81K tok/s/gpu | MFU 34%
step 2170/14606 loss 3.002 | 81K tok/s/gpu | MFU 34%
step 2180/14606 loss 2.948 | 81K tok/s/gpu | MFU 34%
step 2190/14606 loss 3.156 | 81K tok/s/gpu | MFU 34%
step 2200/14606 loss 3.289 | 78K tok/s/gpu | MFU 32%
step 2210/14606 loss 3.076 | 81K tok/s/gpu | MFU 34%
step 2220/14606 loss 2.688 | 81K tok/s/gpu | MFU 34%
step 2230/14606 loss 3.270 | 81K tok/s/gpu | MFU 34%
step 2240/14606 loss 3.211 | 81K tok/s/gpu | MFU 34%
step 2250/14606 loss 3.080 | 81K tok/s/gpu | MFU 34%
step 2260/14606 loss 2.912 | 81K tok/s/gpu | MFU 34%
step 2270/14606 loss 3.367 | 81K tok/s/gpu | MFU 34%
step 2280/14606 loss 3.152 | 81K tok/s/gpu | MFU 34%
step 2290/14606 loss 3.233 | 81K tok/s/gpu | MFU 34%
step 2300/14606 loss 3.023 | 81K tok/s/gpu | MFU 34%
step 2310/14606 loss 3.333 | 81K tok/s/gpu | MFU 34%
step 2320/14606 loss 3.313 | 81K tok/s/gpu | MFU 34%
step 2330/14606 loss 3.043 | 81K tok/s/gpu | MFU 34%
step 2340/14606 loss 2.838 | 81K tok/s/gpu | MFU 34%
step 2350/14606 loss 3.214 | 81K tok/s/gpu | MFU 34%
step 2360/14606 loss 2.966 | 81K tok/s/gpu | MFU 34%
step 2370/14606 loss 3.140 | 81K tok/s/gpu | MFU 34%
step 2380/14606 loss 3.342 | 81K tok/s/gpu | MFU 34%
step 2390/14606 loss 3.315 | 81K tok/s/gpu | MFU 34%
step 2400/14606 loss 2.929 | 78K tok/s/gpu | MFU 32%
step 2410/14606 loss 3.403 | 81K tok/s/gpu | MFU 34%
step 2420/14606 loss 3.203 | 81K tok/s/gpu | MFU 34%
step 2430/14606 loss 3.049 | 81K tok/s/gpu | MFU 34%
step 2440/14606 loss 3.014 | 81K tok/s/gpu | MFU 34%
step 2450/14606 loss 3.304 | 81K tok/s/gpu | MFU 34%
step 2460/14606 loss 3.193 | 81K tok/s/gpu | MFU 34%
step 2470/14606 loss 2.961 | 81K tok/s/gpu | MFU 34%
step 2480/14606 loss 3.020 | 80K tok/s/gpu | MFU 34%
step 2490/14606 loss 3.110 | 79K tok/s/gpu | MFU 33%
step 2500/14606 val 2.515
step 2500/14606 loss 3.250 | 52K tok/s/gpu | MFU 22%
step 2510/14606 loss 3.125 | 78K tok/s/gpu | MFU 33%
step 2520/14606 loss 3.043 | 81K tok/s/gpu | MFU 34%
step 2530/14606 loss 3.322 | 81K tok/s/gpu | MFU 34%
step 2540/14606 loss 3.076 | 81K tok/s/gpu | MFU 34%
step 2550/14606 loss 2.994 | 81K tok/s/gpu | MFU 34%
step 2560/14606 loss 2.892 | 81K tok/s/gpu | MFU 34%
step 2570/14606 loss 3.215 | 81K tok/s/gpu | MFU 34%
step 2580/14606 loss 3.004 | 81K tok/s/gpu | MFU 34%
step 2590/14606 loss 3.216 | 81K tok/s/gpu | MFU 34%
step 2600/14606 loss 3.244 | 78K tok/s/gpu | MFU 33%
step 2610/14606 loss 3.138 | 81K tok/s/gpu | MFU 34%
step 2620/14606 loss 3.029 | 81K tok/s/gpu | MFU 34%
step 2630/14606 loss 2.844 | 81K tok/s/gpu | MFU 34%
step 2640/14606 loss 3.065 | 81K tok/s/gpu | MFU 34%
step 2650/14606 loss 3.431 | 81K tok/s/gpu | MFU 34%
step 2660/14606 loss 3.191 | 81K tok/s/gpu | MFU 34%
step 2670/14606 loss 3.302 | 81K tok/s/gpu | MFU 34%
step 2680/14606 loss 2.953 | 81K tok/s/gpu | MFU 34%
step 2690/14606 loss 2.835 | 81K tok/s/gpu | MFU 34%
