PATH                                                     LINES  LAST COMMIT           REACHED FROM                                   FATE
----------------------------------------------------------------------------------------------------------------------------------
mathbank/vet_programs.py                                    51  aa3a8b9 2026-08-26    ENTRY                                          KEEP (cite in corpus entry-point row)
prepare_sft_math.py                                         91  907920c 2026-08-29    ENTRY                                          
probes/ab_vocab_loss.py                                    110  bcc43c4 2026-08-31    facts:facts/efficiency.json                    
probes/attn_res_bench.py                                   233  bcc43c4 2026-08-31    facts:scripts/restartability_baseline.json     
probes/attn_res_cpu_gap.py                                 168  bcc43c4 2026-08-31    facts:facts/efficiency.json                    
probes/bench_gated_mla.py                                  222  bcc43c4 2026-08-31    facts:scripts/restartability_baseline.json     
probes/bench_gpu_probe.py                                   36  bcc43c4 2026-08-31    facts:facts/efficiency.json                    
probes/bf16_update_loss.py                                 122  bcc43c4 2026-08-31    facts:facts/efficiency.json                    
probes/fone_digit_acc.py                                    96  bcc43c4 2026-08-31    ENTRY                                          
probes/lm_head_gemm.py                                     120  bcc43c4 2026-08-31    facts:facts/efficiency.json                    
probes/mem_account.py                                      175  bcc43c4 2026-08-31    facts:scripts/restartability_baseline.json     
probes/profile_step.py                                     139  bcc43c4 2026-08-31    docs:docs/standards/0830v1_gates.md            
run_ddp.sh                                                  18  8033d98 2026-08-30    ENTRY                                          
sampling.py                                                 17  7b21241 2026-08-27    import:chat.py                                 
scripts/assert_vocab.sh                                     19  4c669ba 2026-08-30    docs:scripts/assert_vocab.sh                   
scripts/bootstrap_pod.sh                                    79  26c14d9 2026-08-30    docs:scripts/bootstrap_pod.sh                  
scripts/build_domains.sh                                    78  26c14d9 2026-08-30    docs:docs/standards/0830v1_gates.md            
scripts/build_math_expand.sh                                39  d535674 2026-08-31    docs:docs/audits/audit_math_corpus.md          
scripts/build_tokenizer.py                                 150  26c14d9 2026-08-30    ENTRY                                          
scripts/build_web_hq.sh                                     54  26c14d9 2026-08-30    docs:docs/standards/corpus_rebuild.md          
scripts/check_mix.py                                       100  26c14d9 2026-08-30    docs:docs/standards/REBUILD_PLAN_2026-08-29.md  
scripts/ckpt_info.py                                        66  9176f85 2026-08-30    ENTRY                                          KEEP (AGENTS.md row — ops tool)
scripts/ckpt_sweep.py                                      127  bcc43c4 2026-08-31    facts:scripts/restartability_baseline.json     
scripts/clean_corpus.py                                    120  0c0ebc3 2026-08-31    ENTRY                                          
scripts/corpus_fingerprint.py                              156  bce33b8 2026-08-30    docs:docs/audits/audit_math_corpus.md          
scripts/count_cleaned_code.py                               78  0d8a185 2026-08-31    ENTRY                                          KEEP (add to AGENTS.md entry-point table)
scripts/data_overview.py                                   159  7359a56 2026-08-30    import                                         
scripts/data_verify.py                                     183  9176f85 2026-08-30    docs:scripts/bootstrap_pod.sh                  
scripts/dedup_corpus.py                                    113  1b42176 2026-08-30    ENTRY                                          
